2023-11-21 20:48:17 INFO  TransportClientFactory:267 - Successfully created connection to cssmpi11h.uwb.edu/10.158.82.98:58110 after 29 ms (0 ms spent in bootstraps)
2023-11-21 20:48:17 INFO  StandaloneSchedulerBackend:54 - Connected to Spark cluster with app ID app-20231121204817-0000
2023-11-21 20:48:18 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 45658.
2023-11-21 20:48:18 INFO  NettyBlockTransferService:54 - Server created on cssmpi11h.uwb.edu:45658
2023-11-21 20:48:18 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20231121204817-0000/0 on worker-20231121204518-10.158.82.157-36433 (10.158.82.157:36433) with 4 core(s)
2023-11-21 20:48:18 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20231121204817-0000/0 on hostPort 10.158.82.157:36433 with 4 core(s), 1024.0 MB RAM
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20231121204817-0000/1 on worker-20231121204518-10.158.82.99-39190 (10.158.82.99:39190) with 4 core(s)
2023-11-21 20:48:18 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20231121204817-0000/1 on hostPort 10.158.82.99:39190 with 4 core(s), 1024.0 MB RAM
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20231121204817-0000/2 on worker-20231121204518-10.158.82.98-41409 (10.158.82.98:41409) with 4 core(s)
2023-11-21 20:48:18 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20231121204817-0000/2 on hostPort 10.158.82.98:41409 with 4 core(s), 1024.0 MB RAM
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20231121204817-0000/3 on worker-20231121204523-10.158.82.158-38055 (10.158.82.158:38055) with 4 core(s)
2023-11-21 20:48:18 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20231121204817-0000/3 on hostPort 10.158.82.158:38055 with 4 core(s), 1024.0 MB RAM
2023-11-21 20:48:18 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, cssmpi11h.uwb.edu, 45658, None)
2023-11-21 20:48:18 INFO  BlockManagerMasterEndpoint:54 - Registering block manager cssmpi11h.uwb.edu:45658 with 366.3 MB RAM, BlockManagerId(driver, cssmpi11h.uwb.edu, 45658, None)
2023-11-21 20:48:18 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, cssmpi11h.uwb.edu, 45658, None)
2023-11-21 20:48:18 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, cssmpi11h.uwb.edu, 45658, None)
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20231121204817-0000/1 is now RUNNING
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20231121204817-0000/0 is now RUNNING
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20231121204817-0000/3 is now RUNNING
2023-11-21 20:48:18 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20231121204817-0000/2 is now RUNNING
2023-11-21 20:48:18 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@27068a50{/metrics/json,null,AVAILABLE,@Spark}
2023-11-21 20:48:18 INFO  StandaloneSchedulerBackend:54 - SchedulerBackend is ready for scheduling beginning after reached minRegisteredResourcesRatio: 0.0
2023-11-21 20:48:19 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 236.7 KB, free 366.1 MB)
2023-11-21 20:48:19 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 22.9 KB, free 366.0 MB)
2023-11-21 20:48:19 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on cssmpi11h.uwb.edu:45658 (size: 22.9 KB, free: 366.3 MB)
2023-11-21 20:48:19 INFO  SparkContext:54 - Created broadcast 0 from textFile at JavaWordCountFlatMap.java:20
2023-11-21 20:48:19 INFO  FileInputFormat:249 - Total input paths to process : 1
2023-11-21 20:48:19 INFO  SparkContext:54 - Starting job: count at JavaWordCountFlatMap.java:32
2023-11-21 20:48:19 INFO  CoarseGrainedSchedulerBackend$DriverEndpoint:54 - Registered executor NettyRpcEndpointRef(spark-client://Executor) (10.158.82.158:58990) with ID 3
2023-11-21 20:48:19 INFO  DAGScheduler:54 - Got job 0 (count at JavaWordCountFlatMap.java:32) with 2 output partitions
2023-11-21 20:48:19 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (count at JavaWordCountFlatMap.java:32)
2023-11-21 20:48:19 INFO  DAGScheduler:54 - Parents of final stage: List()
2023-11-21 20:48:19 INFO  DAGScheduler:54 - Missing parents: List()
2023-11-21 20:48:19 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[2] at flatMap at JavaWordCountFlatMap.java:24), which has no missing parents
2023-11-21 20:48:19 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 10.158.82.158:40735 with 366.3 MB RAM, BlockManagerId(3, 10.158.82.158, 40735, None)
2023-11-21 20:48:19 INFO  CoarseGrainedSchedulerBackend$DriverEndpoint:54 - Registered executor NettyRpcEndpointRef(spark-client://Executor) (10.158.82.157:56868) with ID 0
2023-11-21 20:48:19 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 3.8 KB, free 366.0 MB)
2023-11-21 20:48:19 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 2.2 KB, free 366.0 MB)
2023-11-21 20:48:19 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on cssmpi11h.uwb.edu:45658 (size: 2.2 KB, free: 366.3 MB)
2023-11-21 20:48:19 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2023-11-21 20:48:19 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 0 (MapPartitionsRDD[2] at flatMap at JavaWordCountFlatMap.java:24) (first 15 tasks are for partitions Vector(0, 1))
2023-11-21 20:48:19 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 2 tasks
