2023-11-21 10:02:19 INFO  NettyBlockTransferService:54 - Server created on cssmpi11h.uwb.edu:35051
2023-11-21 10:02:19 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2023-11-21 10:02:19 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, cssmpi11h.uwb.edu, 35051, None)
2023-11-21 10:02:19 INFO  BlockManagerMasterEndpoint:54 - Registering block manager cssmpi11h.uwb.edu:35051 with 366.3 MB RAM, BlockManagerId(driver, cssmpi11h.uwb.edu, 35051, None)
2023-11-21 10:02:19 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, cssmpi11h.uwb.edu, 35051, None)
2023-11-21 10:02:19 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, cssmpi11h.uwb.edu, 35051, None)
2023-11-21 10:02:19 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2e52fb3e{/metrics/json,null,AVAILABLE,@Spark}
2023-11-21 10:02:20 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 236.7 KB, free 366.1 MB)
2023-11-21 10:02:20 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 22.9 KB, free 366.0 MB)
2023-11-21 10:02:20 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on cssmpi11h.uwb.edu:35051 (size: 22.9 KB, free: 366.3 MB)
2023-11-21 10:02:20 INFO  SparkContext:54 - Created broadcast 0 from textFile at JavaWordCountFlatMap.java:20
2023-11-21 10:02:20 INFO  FileInputFormat:249 - Total input paths to process : 1
2023-11-21 10:02:20 INFO  SparkContext:54 - Starting job: count at JavaWordCountFlatMap.java:32
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Got job 0 (count at JavaWordCountFlatMap.java:32) with 1 output partitions
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (count at JavaWordCountFlatMap.java:32)
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Parents of final stage: List()
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Missing parents: List()
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[2] at flatMap at JavaWordCountFlatMap.java:24), which has no missing parents
2023-11-21 10:02:20 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 3.8 KB, free 366.0 MB)
2023-11-21 10:02:20 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 2.2 KB, free 366.0 MB)
2023-11-21 10:02:20 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on cssmpi11h.uwb.edu:35051 (size: 2.2 KB, free: 366.3 MB)
2023-11-21 10:02:20 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 0 (MapPartitionsRDD[2] at flatMap at JavaWordCountFlatMap.java:24) (first 15 tasks are for partitions Vector(0))
2023-11-21 10:02:20 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 1 tasks
2023-11-21 10:02:20 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, localhost, executor driver, partition 0, PROCESS_LOCAL, 7888 bytes)
2023-11-21 10:02:20 INFO  Executor:54 - Running task 0.0 in stage 0.0 (TID 0)
2023-11-21 10:02:20 INFO  Executor:54 - Fetching spark://cssmpi11h.uwb.edu:36508/jars/JavaWordCountFlatMap.jar with timestamp 1700589739627
2023-11-21 10:02:20 INFO  TransportClientFactory:267 - Successfully created connection to cssmpi11h.uwb.edu/10.158.82.98:36508 after 33 ms (0 ms spent in bootstraps)
2023-11-21 10:02:20 INFO  Utils:54 - Fetching spark://cssmpi11h.uwb.edu:36508/jars/JavaWordCountFlatMap.jar to /tmp/spark-f59624b9-a8cd-4383-9631-bc8e9f952cab/userFiles-40abd934-e13b-4196-ad9b-49884e554897/fetchFileTemp8521303847089734875.tmp
2023-11-21 10:02:20 INFO  Executor:54 - Adding file:/tmp/spark-f59624b9-a8cd-4383-9631-bc8e9f952cab/userFiles-40abd934-e13b-4196-ad9b-49884e554897/JavaWordCountFlatMap.jar to class loader
2023-11-21 10:02:20 INFO  HadoopRDD:54 - Input split: file:/home/NETID/sumitjh/Spark/sample.txt:0+66
2023-11-21 10:02:20 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 832 bytes result sent to driver
2023-11-21 10:02:20 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 182 ms on localhost (executor driver) (1/1)
2023-11-21 10:02:20 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2023-11-21 10:02:20 INFO  DAGScheduler:54 - ResultStage 0 (count at JavaWordCountFlatMap.java:32) finished in 0.253 s
2023-11-21 10:02:20 INFO  DAGScheduler:54 - Job 0 finished: count at JavaWordCountFlatMap.java:32, took 0.308334 s
#words = 11
Time = 1907
2023-11-21 10:02:20 INFO  SparkContext:54 - Invoking stop() from shutdown hook
2023-11-21 10:02:20 INFO  AbstractConnector:318 - Stopped Spark@35293c05{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2023-11-21 10:02:20 INFO  SparkUI:54 - Stopped Spark web UI at http://cssmpi11h.uwb.edu:4040
2023-11-21 10:02:20 INFO  MapOutputTrackerMasterEndpoint:54 - MapOutputTrackerMasterEndpoint stopped!
2023-11-21 10:02:20 INFO  MemoryStore:54 - MemoryStore cleared
2023-11-21 10:02:20 INFO  BlockManager:54 - BlockManager stopped
2023-11-21 10:02:20 INFO  BlockManagerMaster:54 - BlockManagerMaster stopped
2023-11-21 10:02:20 INFO  OutputCommitCoordinator$OutputCommitCoordinatorEndpoint:54 - OutputCommitCoordinator stopped!
2023-11-21 10:02:20 INFO  SparkContext:54 - Successfully stopped SparkContext
2023-11-21 10:02:20 INFO  ShutdownHookManager:54 - Shutdown hook called
2023-11-21 10:02:20 INFO  ShutdownHookManager:54 - Deleting directory /tmp/spark-f59624b9-a8cd-4383-9631-bc8e9f952cab
2023-11-21 10:02:20 INFO  ShutdownHookManager:54 - Deleting directory /tmp/spark-73ce9cdb-c062-4b8d-a865-0eea18093482
